violations total: 0
arm | script | 240 | 256 | 320 | 384 | 448 | 512 | 640 | 768 | 1024
A2+A3gt | b2-same-units-shrinking-bytes | WFB | WFB | WFB | WFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt | c-grow6-truncate-x10 | MFB | MFB | MFB | MFB | -FB | MFB | WFB | WFB | WFB
A2+A3gt | d-empty-on-empty-x60 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt | e-inodes400-then-ow60 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt | f-fragment-5-1-4-2-3-1 | -FB | -FB | -FB | -FB | -FB | WFB | WFB | WFB | WFB
A2+A3d | a-ow150 | --- | --- | --- | -F- | WFB | WFB | WFB | WFB | WFB
A2+A3d | b-shrink-rewrite-4-3 | --- | --- | --- | -FB | --- | -F- | WFB | WFB | WFB
A2+A3d | b2-same-units-shrinking-bytes | --- | --- | -FB | --- | --- | -F- | WFB | WFB | WFB
A2+A3d | c-grow6-truncate-x10 | --- | --- | -F- | --- | --- | -F- | WFB | WFB | WFB
A2+A3d | d-empty-on-empty-x60 | --- | --- | --- | -F- | WFB | WFB | WFB | WFB | WFB
A2+A3d | e-inodes400-then-ow60 | --- | --- | --- | -F- | WFB | WFB | WFB | WFB | WFB
A2+A3d | f-fragment-5-1-4-2-3-1 | --- | --- | --- | --- | --- | WFB | WFB | WFB | WFB
A2+A3gt+A4 | a-ow150 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt+A4 | b-shrink-rewrite-4-3 | WFB | WFB | WFB | WFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt+A4 | b2-same-units-shrinking-bytes | WFB | WFB | WFB | WFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt+A4 | c-grow6-truncate-x10 | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB | WFB
A2+A3gt+A4 | d-empty-on-empty-x60 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt+A4 | e-inodes400-then-ow60 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2+A3gt+A4 | f-fragment-5-1-4-2-3-1 | MFB | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB
A2+A3ge+A4 | a-ow150 | --B | --- | --- | WFB | WFB | WFB | WFB | WFB | WFB
A2+A3ge+A4 | b-shrink-rewrite-4-3 | --B | --- | --- | WFB | -F- | WFB | WFB | WFB | WFB
A2+A3ge+A4 | b2-same-units-shrinking-bytes | --B | --- | MFB | --- | --B | WFB | WFB | WFB | WFB
A2+A3ge+A4 | c-grow6-truncate-x10 | --B | --B | --B | --- | WFB | WFB | WFB | WFB | WFB
A2+A3ge+A4 | d-empty-on-empty-x60 | --B | --- | --- | WFB | WFB | WFB | WFB | WFB | WFB
A2+A3ge+A4 | e-inodes400-then-ow60 | --- | --- | --- | WFB | WFB | WFB | WFB | WFB | WFB
A2+A3ge+A4 | f-fragment-5-1-4-2-3-1 | --- | --- | --- | --- | WFB | WFB | WFB | WFB | WFB
