violations 0
cell = N(近满时放行的最大单元数):删后重写成功前的用户步数(0=立刻；X=8步内没成)；D!=截断这一次发布本身被准入拒
arm | filler | 240 | 256 | 320 | 384 | 448 | 512 | 640 | 768 | 1024
A2+A4 | raiseF | N6:D!1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A4 | inode+raiseF | N6:D!1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A4 | ow1+raiseF | N6:D!1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3gt+A4 | inode | N6:X | N6:X | N8:X | N10:X | N12:X | N13:0 | N16:0 | N19:8 | N23:0
A2+A3gt+A4 | remount | N6:X | N6:X | N8:X | N10:7 | N12:7 | N13:0 | N16:0 | N19:3 | N23:0
A2+A3gt+A4 | raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3gt+A4 | inode+raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3gt+A4 | ow1+raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3ge+A4 | inode | N6:X | N6:X | N8:X | N10:X | N12:X | N13:0 | N16:0 | N19:8 | N23:0
A2+A3ge+A4 | remount | N6:X | N6:X | N8:X | N10:7 | N12:7 | N13:0 | N16:0 | N19:3 | N23:0
A2+A3ge+A4 | raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3ge+A4 | inode+raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3ge+A4 | ow1+raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
截断（删）被放行的格数（每臂 9 个盘宽）: {'T': '5/9', 'A1': '1/9', 'A2': '8/9', 'ND': '7/9', 'A4': '5/9', 'A3ge': '9/9', 'A3gt': '9/9', 'A2+A3ge': '9/9', 'A2+A3gt': '9/9', 'A2+A4': '8/9', 'A2+A3gt+A4': '9/9', 'A2+A3ge+A4': '9/9'}
