    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.00s
S4R2-B width=384 candidate=a3 k=23 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=25
S4R2-B width=384 candidate=a3 k=24 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=26
S4R2-B width=384 candidate=a3 k=25 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=27
S4R2-B width=384 candidate=a3 k=26 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=28
S4R2-B width=384 candidate=a3 k=27 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=29
S4R2-B width=384 candidate=a3 k=28 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=30
S4R2-B width=384 candidate=a3 k=29 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=31
S4R2-B width=384 candidate=a3 k=30 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=32
S4R2-B width=384 candidate=a3 k=31 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=33
S4R2-B width=384 candidate=a3 k=32 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=34
S4R2-B width=384 candidate=a3 k=33 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=35
S4R2-B width=384 candidate=a3 k=34 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=36
S4R2-B width=384 candidate=a3 k=35 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=37
S4R2-B width=384 candidate=a3 k=36 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=38
S4R2-B width=384 candidate=a3 k=37 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=39
S4R2-B width=384 candidate=a3 k=38 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=40
S4R2-B width=384 candidate=a3 k=39 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=41
S4R2-B width=384 candidate=a3 k=40 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=42
S4R2-B width=384 candidate=a3 k=41 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=43
S4R2-B width=384 candidate=a3 k=42 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=44
S4R2-B width=384 candidate=a3 k=43 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=45
S4R2-B width=384 candidate=a3 k=44 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=46
S4R2-B width=384 candidate=a3 k=45 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=47
S4R2-B width=384 candidate=a3 k=46 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=48
S4R2-B width=384 candidate=a3 k=47 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=49
S4R2-B width=384 candidate=a3 k=48 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=50
S4R2-B width=384 candidate=a3 k=49 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=51
S4R2-B width=384 candidate=a3 k=50 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=52
S4R2-B width=384 candidate=a3 k=51 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=53
S4R2-B width=384 candidate=a3 k=52 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=54
S4R2-B width=384 candidate=a3 k=53 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=55
S4R2-B width=384 candidate=a3 k=54 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=56
S4R2-B width=384 candidate=a3 k=55 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=57
S4R2-B width=384 candidate=a3 k=56 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=58
S4R2-B width=384 candidate=a3 k=57 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=59
S4R2-B width=384 candidate=a3 k=58 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=60
S4R2-B width=384 candidate=a3 k=59 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=61
S4R2-B width=384 candidate=a3 k=60 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=62
S4R2-B width=384 candidate=a3 k=61 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=63
S4R2-B width=384 candidate=a3 k=62 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=64
S4R2-B width=384 candidate=a3 k=63 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=65
S4R2-B width=384 candidate=a3 k=64 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=66
S4R2-B width=384 candidate=a3 k=65 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=67
S4R2-B width=384 candidate=a3 k=66 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=68
error: test failed, to rerun pass `-p singlefs-harness --test s4_r2_candidates`

Caused by:
  process didn't exit successfully: `/tmp/claude-1000/m2-safety-r2-sonnet/tree/target/debug/deps/s4_r2_candidates-6d293d50af15faa1 --nocapture --test-threads 1` (signal: 15, SIGTERM: termination signal)
/home/fy5090/code/singlefs/research/scripts/run-with-memory-cap.sh: line 1006: syntax error near unexpected token `<'
/home/fy5090/code/singlefs/research/scripts/run-with-memory-cap.sh: line 1006: `    reject_usage "没给上限与命令" "写成 run-with-memory-cap.sh <上限> <命令> [参数…]，上限例 16G" ;;'
