    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.00s
S4R2-B width=240 candidate=a3 k=10 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=12
S4R2-B width=240 candidate=a3 k=11 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=13
S4R2-B width=240 candidate=a3 k=12 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=14
S4R2-B width=240 candidate=a3 k=13 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=15
S4R2-B width=240 candidate=a3 k=14 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=16
S4R2-B width=240 candidate=a3 k=15 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=17
S4R2-B width=240 candidate=a3 k=16 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=18
S4R2-B width=240 candidate=a4 first_mount=Applied overwrites_admitted_in_one_session=5 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=240 candidate=a4 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=240 candidate=a4 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=240 candidate=a4 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=240 candidate=a4 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=240 candidate=a4 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=240 candidate=a4 k=5 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=9
S4R2-B width=256 candidate=baseline first_mount=Applied overwrites_admitted_in_one_session=6 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=256 candidate=baseline k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=256 candidate=baseline k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=256 candidate=baseline k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=256 candidate=baseline k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=256 candidate=baseline k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=256 candidate=baseline k=5 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
S4R2-B width=256 candidate=baseline k=6 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
S4R2-B width=256 candidate=a1 first_mount=Applied overwrites_admitted_in_one_session=6 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=256 candidate=a1 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=256 candidate=a1 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=256 candidate=a1 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=256 candidate=a1 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=256 candidate=a1 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=256 candidate=a1 k=5 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
S4R2-B width=256 candidate=a1 k=6 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
S4R2-B width=256 candidate=a2 first_mount=Applied overwrites_admitted_in_one_session=12 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=256 candidate=a2 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=256 candidate=a2 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=256 candidate=a2 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=256 candidate=a2 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=256 candidate=a2 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=256 candidate=a2 k=5 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=9
S4R2-B width=256 candidate=a2 k=6 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=10
S4R2-B width=256 candidate=a2 k=7 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=11
S4R2-B width=256 candidate=a2 k=8 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=12
S4R2-B width=256 candidate=a2 k=9 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=13
S4R2-B width=256 candidate=a2 k=10 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=14
S4R2-B width=256 candidate=a2 k=11 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=14
S4R2-B width=256 candidate=a2 k=12 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=14
S4R2-B width=256 candidate=a3 first_mount=Applied overwrites_admitted_in_one_session=17 next_step=Some("PublishError::PlacementRefused(NoFreeSlotOnAnyDevice)")
S4R2-B width=256 candidate=a3 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=256 candidate=a3 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=256 candidate=a3 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=256 candidate=a3 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=256 candidate=a3 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=256 candidate=a3 k=5 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
S4R2-B width=256 candidate=a3 k=6 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
