row141	reuse-48x30	exit 101	历史 48 段：跑完 17、以已知红收尾 {0: 26, 1: 1}、新发现 4；根环转过一圈的 41 段；最高 txg 41	红的种子 4 [2, 7, 12, 45]	['HarnessJudgement']	内容长度 载荷容量：入口被调 55 次、发成 53 次	1s
row141	broad-96x20	exit 101	历史 96 段：跑完 54、以已知红收尾 {0: 2}、新发现 40；根环转过一圈的 5 段；最高 txg 26	红的种子 40 [0, 1, 3, 7, 9, 11, 12, 13, 17, 20, 26, 27]	['HarnessJudgement']	内容长度 载荷容量：入口被调 35 次、发成 34 次	1s
row141	reuse-48x20	exit 101	历史 48 段：跑完 29、以已知红收尾 {0: 14, 1: 1}、新发现 4；根环转过一圈的 27 段；最高 txg 30	红的种子 4 [2, 7, 12, 45]	['HarnessJudgement']	内容长度 载荷容量：入口被调 46 次、发成 44 次	1s
row141	broad-96x40	exit 101	历史 96 段：跑完 26、以已知红收尾 {0: 23, 1: 1}、新发现 46；根环转过一圈的 26 段；最高 txg 40	红的种子 46 [0, 1, 2, 3, 7, 9, 11, 12, 13, 15, 17, 20]	['HarnessJudgement']	内容长度 载荷容量：入口被调 44 次、发成 43 次	2s
row141	reuse-48x40	exit 101	历史 48 段：跑完 6、以已知红收尾 {0: 35, 1: 1}、新发现 6；根环转过一圈的 42 段；最高 txg 51	红的种子 6 [2, 7, 12, 15, 39, 45]	['HarnessJudgement']	内容长度 载荷容量：入口被调 59 次、发成 57 次	2s
row141	reuse-96x30	exit 101	历史 96 段：跑完 28、以已知红收尾 {0: 55, 1: 1}、新发现 12；根环转过一圈的 80 段；最高 txg 41	红的种子 12 [2, 7, 12, 45, 48, 51, 59, 66, 68, 70, 71, 81]	['HarnessJudgement']	内容长度 载荷容量：入口被调 99 次、发成 97 次	2s
row141	broad-48x30	exit 101	历史 48 段：跑完 17、以已知红收尾 {0: 9}、新发现 22；根环转过一圈的 12 段；最高 txg 31	红的种子 22 [0, 1, 2, 3, 7, 9, 11, 12, 13, 15, 17, 20]	['HarnessJudgement']	内容长度 载荷容量：入口被调 24 次、发成 24 次	1s
b1	broad-96x30	exit 0	历史 96 段：跑完 53、以已知红收尾 {0: 43}、新发现 0；根环转过一圈的 59 段；最高 txg 37	红的种子 0 []	[]	内容长度 载荷容量：入口被调 71 次、发成 0 次	2s
b1	reuse-48x30	exit 0	历史 48 段：跑完 19、以已知红收尾 {0: 29}、新发现 0；根环转过一圈的 47 段；最高 txg 40	红的种子 0 []	[]	内容长度 载荷容量：入口被调 58 次、发成 0 次	1s
b1	broad-96x20	exit 0	历史 96 段：跑完 90、以已知红收尾 {0: 6}、新发现 0；根环转过一圈的 17 段；最高 txg 28	红的种子 0 []	[]	内容长度 载荷容量：入口被调 53 次、发成 0 次	2s
b1	reuse-48x20	exit 0	历史 48 段：跑完 37、以已知红收尾 {0: 11}、新发现 0；根环转过一圈的 23 段；最高 txg 30	红的种子 0 []	[]	内容长度 载荷容量：入口被调 48 次、发成 0 次	1s
b1	broad-96x40	exit 0	历史 96 段：跑完 33、以已知红收尾 {0: 63}、新发现 0；根环转过一圈的 68 段；最高 txg 41	红的种子 0 []	[]	内容长度 载荷容量：入口被调 80 次、发成 0 次	2s
b1	reuse-48x40	exit 0	历史 48 段：跑完 5、以已知红收尾 {0: 43}、新发现 0；根环转过一圈的 47 段；最高 txg 46	红的种子 0 []	[]	内容长度 载荷容量：入口被调 61 次、发成 0 次	2s
b1	reuse-96x30	exit 0	历史 96 段：跑完 35、以已知红收尾 {0: 61}、新发现 0；根环转过一圈的 93 段；最高 txg 40	红的种子 0 []	[]	内容长度 载荷容量：入口被调 107 次、发成 0 次	2s
b1	broad-48x30	exit 0	历史 48 段：跑完 30、以已知红收尾 {0: 18}、新发现 0；根环转过一圈的 26 段；最高 txg 37	红的种子 0 []	[]	内容长度 载荷容量：入口被调 34 次、发成 0 次	1s
a1	broad-96x30	exit 101	历史 96 段：跑完 33、以已知红收尾 {0: 45, 1: 1}、新发现 17；根环转过一圈的 46 段；最高 txg 28	红的种子 17 [7, 15, 20, 26, 27, 38, 46, 51, 54, 56, 57, 62]	['CheckerViolations']	内容长度 载荷容量：入口被调 67 次、发成 63 次	2s
