fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events	reuse_steps	rebuild_mapping_mismatch	writes_refused
F10-writer-bug-disk-carried-leaf	off(today)	FFFF	F:ok(F=6,reclaimed=18) F:noop F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFFO	F:ok(F=6,reclaimed=18) F:noop F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFOF	F:ok(F=6,reclaimed=18) F:noop O:ok F:ok(F=7,reclaimed=6)	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFFM	F:ok(F=6,reclaimed=18) F:noop F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFMO	F:ok(F=6,reclaimed=18) F:noop M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFMF	F:ok(F=6,reclaimed=18) F:noop M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFOM	F:ok(F=6,reclaimed=18) F:noop O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFMM	F:ok(F=6,reclaimed=18) F:noop M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FFOO	F:ok(F=6,reclaimed=18) F:noop O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FMMF	F:ok(F=6,reclaimed=18) M:ok M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FMFF	F:ok(F=6,reclaimed=18) M:ok F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FMOF	F:ok(F=6,reclaimed=18) M:ok O:ok F:ok(F=7,reclaimed=6)	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FMFO	F:ok(F=6,reclaimed=18) M:ok F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	off(today)	FMFM	F:ok(F=6,reclaimed=18) M:ok F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	0	0
