fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F4-rot-both	N1A-any-isoAll-mem	OFOMFOO	O:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	720896	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMFF	O:ok F:noop O:ok M:ok M:ok F:ok(F=3,reclaimed=1) F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	29	557056	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMFM	O:ok F:noop O:ok M:ok M:ok F:ok(F=3,reclaimed=1) M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMFO	O:ok F:noop O:ok M:ok M:ok F:ok(F=3,reclaimed=1) O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	688128	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMMM	O:ok F:noop O:ok M:ok M:ok M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMMF	O:ok F:noop O:ok M:ok M:ok M:ok F:ok(F=3,reclaimed=1)	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMMO	O:ok F:noop O:ok M:ok M:ok M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	688128	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMOF	O:ok F:noop O:ok M:ok M:ok O:ok F:ok(F=6,reclaimed=18)	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	33	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMOM	O:ok F:noop O:ok M:ok M:ok O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	33	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMOFF	O:ok F:noop O:ok M:ok O:ok F:ok(F=6,reclaimed=18) F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	27	557056	0	0	t1@50182:released-and-isolated
F4-rot-both	N1A-any-isoAll-mem	OFOMMOO	O:ok F:noop O:ok M:ok M:ok O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	35	720896	0	0	t1@50182:released-and-isolated
