E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=2 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=125.24
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=3 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=125.25
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=4 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=125.19
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=0 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=572.91
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=1 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=573.23
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=2 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=572.75
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=3 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=572.95
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=4 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=573.60
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=0 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=58.41
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=1 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=58.42
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=2 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=58.43
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=3 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=58.43
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=4 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=58.48
