E7RESULT name=cell arm=A_ring_persisted world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=299 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=C_k_runtime world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=299 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=D_floor_txg world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=13 checks=9696 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=296 min_states=1 avg_states_x100=297 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=297 min_states=1 avg_states_x100=298 stalls=0
E7RESULT name=cell arm=G_txg_cap world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=297 min_states=1 avg_states_x100=298 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=297 min_states=1 avg_states_x100=298 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=297 min_states=1 avg_states_x100=298 stalls=0
E7RESULT name=cell arm=G2R_mount world=torn_newest s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=2 avg_candidates_x100=299 avg_nonempty_x100=297 min_states=1 avg_states_x100=298 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=11 avg_candidates_x100=1199 avg_nonempty_x100=1199 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=C_k_runtime world=torn_newest s=4 lost_disk=0 fakes=76224 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=11 avg_candidates_x100=1199 avg_nonempty_x100=1199 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=D_floor_txg world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9696 min_candidates=4 avg_candidates_x100=1190 avg_nonempty_x100=1177 min_states=2 avg_states_x100=1164 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=1191 avg_nonempty_x100=1184 min_states=2 avg_states_x100=1171 stalls=0
E7RESULT name=cell arm=G_txg_cap world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=1191 avg_nonempty_x100=1184 min_states=2 avg_states_x100=1171 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=1191 avg_nonempty_x100=1184 min_states=2 avg_states_x100=1171 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=1191 avg_nonempty_x100=1184 min_states=2 avg_states_x100=1171 stalls=0
E7RESULT name=cell arm=G2R_mount world=torn_newest s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=1191 avg_nonempty_x100=1184 min_states=2 avg_states_x100=1171 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=47 avg_candidates_x100=4799 avg_nonempty_x100=4799 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=C_k_runtime world=torn_newest s=16 lost_disk=0 fakes=419232 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=47 avg_candidates_x100=4799 avg_nonempty_x100=4799 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=D_floor_txg world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9696 min_candidates=4 avg_candidates_x100=4545 avg_nonempty_x100=4496 min_states=2 avg_states_x100=4230 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=4554 avg_nonempty_x100=4527 min_states=2 avg_states_x100=4259 stalls=0
E7RESULT name=cell arm=G_txg_cap world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=4554 avg_nonempty_x100=4527 min_states=2 avg_states_x100=4259 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=4554 avg_nonempty_x100=4527 min_states=2 avg_states_x100=4259 stalls=0
