S1ROW	256	26	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	27	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	28	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	29	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	30	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	31	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	32	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	33	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	34	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	256	35	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	18	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	19	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	20	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	21	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	22	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	23	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	24	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	25	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	26	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	27	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	28	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	29	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	30	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	31	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	32	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	33	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	34	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	260	35	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	18	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	19	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	20	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	21	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	22	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	23	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	24	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	25	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	26	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	27	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	28	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	29	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	30	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	31	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	32	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	33	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	34	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	264	35	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	18	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	19	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	20	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	21	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	22	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	23	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	24	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	25	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	26	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	27	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	28	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	29	control	-	-	ok#3	burned=true	target_in_ring=true
S1ROW	268	30	control	-	-	ok#3	burned=true	target_in_ring=true
