## L0 (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 1344 | 0 | 120 | 0 | 0 | 0 | 0 |
| DING | 1344 | 120 | 0 | 120 | 120 | 120 | 0 |
| DING_DROPLAST | 1344 | 0 | 120 | 0 | 0 | 0 | 0 |
| YI | 1344 | 120 | 0 | 120 | 120 | 120 | 0 |
| BING_R1 | 1344 | 120 | 0 | 120 | 120 | 120 | 0 |
| T1_STRICT | 1344 | 120 | 0 | 120 | 120 | 120 | 0 |
| T1_OPT | 1344 | 200 | 80 | 184 | 168 | 168 | 0 |
| T1_TX_STRICT | 1344 | 120 | 0 | 120 | 120 | 120 | 0 |
| T1_TX_OPT | 1344 | 185 | 65 | 171 | 156 | 156 | 0 |
| FP_LAST | 1344 | 0 | 120 | 0 | 0 | 0 | 0 |
| IDX | 1344 | 120 | 0 | 120 | 120 | 120 | 0 |
| IDXN | 1344 | 0 | 120 | 0 | 0 | 0 | 0 |
| WALK | 1344 | 16 | 136 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 1344 | 304 | 184 | 288 | 272 | 272 | 0 |

## M2 (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 11736 | 0 | 0 | 0 | 0 | 0 | 0 |
| DING | 11736 | 300 | 0 | 0 | 0 | 0 | 0 |
| DING_DROPLAST | 11736 | 1848 | 0 | 0 | 0 | 0 | 0 |
| YI | 11736 | 300 | 0 | 0 | 0 | 0 | 0 |
| BING_R1 | 11736 | 300 | 0 | 0 | 0 | 0 | 0 |
| T1_STRICT | 11736 | 300 | 0 | 0 | 0 | 0 | 0 |
| T1_OPT | 11736 | 780 | 0 | 0 | 0 | 0 | 0 |
| T1_TX_STRICT | 11736 | 300 | 0 | 0 | 0 | 0 | 0 |
| T1_TX_OPT | 11736 | 528 | 0 | 0 | 0 | 0 | 0 |
| FP_LAST | 11736 | 0 | 0 | 0 | 0 | 0 | 0 |
