| 实验 | 甲 提交 | 甲 动决策 | 乙 提交 | 乙 动决策 | 终 提交 | 终 动决策 |
| E50 | c26df20 | True | c98b62a | True | c98b62a | True |
| E51 | c26df20 | True | c98b62a | True | c98b62a | True |
| E52 | c26df20 | True | c98b62a | True | c98b62a | True |
| E53 | c26df20 | True | c98b62a | True | c98b62a | True |
| E54 | c26df20 | True | c98b62a | True | c98b62a | True |
| E55 | c26df20 | True | e930d86 | True | e930d86 | True |
| E56 | eeddad1 | True | eeddad1 | True | eeddad1 | True |
| E57 | eeddad1 | True | eeddad1 | True | eeddad1 | True |
| E58 | 2432f2b | True | 2432f2b | True | 2432f2b | True |
| E59 | 2432f2b | True | 2432f2b | True | 2432f2b | True |
| E60 | 2432f2b | True | 2432f2b | True | 2432f2b | True |
| E61 | 2432f2b | True | 2432f2b | True | 2432f2b | True |
| E62 | 2432f2b | True | 2432f2b | True | 2432f2b | True |
| E63 | 05f64d9 | True | 2432f2b | True | 2432f2b | True |
| E65 | 05f64d9 | True | 05f64d9 | True | 05f64d9 | True |
| E66 | 05f64d9 | True | 05f64d9 | True | 05f64d9 | True |
| E67 | 05f64d9 | True | 05f64d9 | True | 05f64d9 | True |
| E68 | 05f64d9 | True | 05f64d9 | True | 05f64d9 | True |
| E70 | 05f64d9 | True | 05f64d9 | True | 05f64d9 | True |
| E71 | 53eacd1 | True | c76b1ae | True | c76b1ae | True |
| E72 | 53eacd1 | True | c76b1ae | True | c76b1ae | True |
| E73 | 53eacd1 | True | c76b1ae | True | c76b1ae | True |
| E74 | 53eacd1 | True | c76b1ae | True | c76b1ae | True |
| E75 | 53eacd1 | True | c76b1ae | True | c76b1ae | True |
| E76 | 53eacd1 | True | c76b1ae | True | c76b1ae | True |
| E77 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E78 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E79 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E80 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E81 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E82 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E83 | c76b1ae | True | c76b1ae | True | c76b1ae | True |
| E84 | e35fcce | True | e35fcce | True | e35fcce | True |
| E85 | e35fcce | True | e35fcce | True | e35fcce | True |
| E86 | e35fcce | True | e35fcce | True | e35fcce | True |
| E87 | e35fcce | True | e35fcce | True | e35fcce | True |
| E88 | ca5af61 | False | ca5af61 | False | ca5af61 | False |
| E89 | ca5af61 | False | ca5af61 | False | ca5af61 | False |
| E90 | ca5af61 | False | ca5af61 | False | ca5af61 | False |
| E91 | ca5af61 | False | ca5af61 | False | ca5af61 | False |
| E92 | ca5af61 | False | 5222de4 | False | 5222de4 | False |
| E93 | 4f2be4b | True | 4f2be4b | True | 4f2be4b | True |
| E94 | 4f2be4b | True | 4f2be4b | True | 4f2be4b | True |
| E95 | 4f2be4b | True | 3419de7 | True | 3419de7 | True |
| E96 | 4f2be4b | True | 4f2be4b | True | 4f2be4b | True |
| E97 | 74beed4 | True | 74beed4 | True | 74beed4 | True |
| E98 | 4ef5079 | True | 4ef5079 | True | 4ef5079 | True |
| E99 | 4ef5079 | True | 4ef5079 | True | 4ef5079 | True |
对象 144 个；甲 红 28；乙 红 13、乙 找不到提交 1；终 红 13
乙 与 终 挑的提交不同的实验 2 个：E45 E46
乙 与 终 挑的提交不同、且判定不同的：
